id;prenom;nom;telephone;cni
1;mobile Fish;Home Loan Account Table Computer;(483) 617-6009;parsing red Chips
2;Money Market Account;Albania web-readiness;(563) 102-9324;bluetooth
3;syndicate;Mississippi Refined Rubber Chicken Table;(099) 958-3300;Nakfa
4;Bahamian Dollar Investment Account;Games Regional Digitized;(734) 525-5109 x8749;Chief Credit Card Account
5;archive Georgia Aruba;software scale interactive;539-265-2128 x10094;reinvent 24 hour Jewelery
6;monitor;1080p Checking Account Identity;(198) 864-3003 x3636;New York tangible Mississippi
7;Frozen bus;hard drive Robust Networked;574-104-1208;Harbor Montana
8;Corporate Phased relationships;white Brand Money Market Account;(189) 682-6184 x8214;EXE projection Fresh
9;support Gorgeous;withdrawal;838-301-5544;Bahamian Dollar
10;24/7;Gloves sky blue Oklahoma;309-292-2647 x312;Computers Personal Loan Account Berkshire
